Source,Target,Type,Id,Label,Weight
did:plc:dvumb7v7ig4dlvvl3acznfiv,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,208,,1
did:plc:dgybihmqlxztyya32475vls4,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,209,,1
did:plc:jelion2jwkvxe2e36cbipyvi,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,210,,1
did:plc:g7is5j2pjgv4jpxcax3ainwc,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,211,,1
did:plc:rxeenino4sepvvymzyblvj2y,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,212,,1
did:plc:sgbe5chhemjurynvlymfkeji,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,213,,1
did:plc:mem7nac4rn7fzczl6ilqiupz,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,214,,1
did:plc:rylbwxqjkxlaj56i7jykuzi7,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,215,,1
did:plc:jllub64kntlt2m7nik2rmt7u,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,216,,1
did:plc:gjrvi6xd7rbebrmfuz4tfo7j,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,217,,1
did:plc:givsnjl2qhwsehbm6jttsv5z,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,218,,1
did:plc:jbgznrkfmnisea2d7pjmmh4a,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,219,,1
did:plc:ap2b2wvozcts4jqny23o2ggo,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,220,,1
did:plc:za76r4xvtcf45cv7pbbf2nkh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,221,,1
did:plc:4wdp76odwmz24yo2rpqkzijx,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,222,,1
did:plc:jh4z27zv5zgczcmq7dmxbtmv,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,223,,1
did:plc:rs7ywu27rvyszon36wtm2gts,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,224,,1
did:plc:6vejitkan5vrqxg7oy75sxka,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,225,,1
did:plc:i43fykoer7ndfg2wlbfl77x6,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,226,,1
did:plc:wx2r5dusktwt7zowdvrtuqx2,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,227,,1
